artifact_id,container,path,role,edition,media_type,bytes,sha256,pages,read_status
volume_I_french_pdf,release/volume_I,french.pdf,edition_pdf,corrected French,application/pdf,6561439,3E573DD23521052F9A880A217F6068547F8B148BFF21D7BDA688BD28FD279634,380,PASS
volume_I_english_pdf,release/volume_I,english.pdf,edition_pdf,source-aligned English,application/pdf,6550549,ECFD3F6BF7DAD06F0641662F3EC40A761694AA9657953955E5D2DF36BE7FADBA,380,PASS
volume_I_french_package,release/volume_I,french-package.zip,source_package,corrected French,application/zip,10304974,4E48E7B00DE77AEB7C4CB46F93D246BE53C1A2C3F048D512768D2BD2813CB08A,,PASS
volume_I_english_package,release/volume_I,english-package.zip,source_package,source-aligned English,application/zip,10268007,29D5F46C8A6CC12F91D157FFB8AF53BE07F7DA25DDAF9D45F90171936D19F369,,PASS
volume_I_readme,release/volume_I,README.md,readme,both,text/markdown,1764,84B30CD67224DB2F548D3FB019611D0FDF25D4F0A413471EFBF2AA40BC44A3F0,,PASS
volume_I_rights,release/volume_I,LICENSES.md,rights,both,text/markdown,985,9D36A0001DF319D7C72DFBFE773B625840FA800E0D962EFBD2200B98474713F6,,PASS
volume_I_validation,release/volume_I,validation.json,validation,both,application/json,4988,C5338DD710387C5716DF535C42915B195E6FAB4C7788710A2DFA8F5D75666424,,PASS
